updated_label,original_url,old_label,source_article,explanations,rationale
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://examples.yourdictionary.com/examples-of-logical-fallacy.htmll,"My best friend says you’re a liar, so I’m not going to talk to you.","Involves acceptance or rejection of concepts based on [MSK1] source, not [MSK1].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5dba05d87438e2001aa5613a/fallacy-practice,ad hominem,"There's no point [MSK2] to [MSK1] opinion on school lunches. Everybody [MSK2] [MSK1] cheat on [MSK1] math tests.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5dfa3507a2918c001b19927c/rhetorical-fallacies-practice,ad hominem,"[MSK1], [MSK1] drive a beat-up up car from the 1980s. For this reason, we can never allow [MSK1] to be a lifeguard at the community pool.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5fa314fe29f97f001b7e198f/fallacy-quiz,ad hominem,"We can't believe what [MSK1] says out of that ugly mouth of [MSK1].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/580a129c8116abe47fbe6964/persuasive-texts,ad hominem,"[MSK2] [MSK2] [MSK1] in high school and [MSK1] almost flunked out. [MSK1] can't be a good choice for mayor.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/602c1cfa7ad9b8001dd598fe/logical-fallacy-review,ad hominem,"Topic: should [MSK1] [MSK6] [MSK1] [MSK2] [MSK5]? Debate: [MSK3] should [MSK6] [MSK3] [MSK2] [MSK5]. [MSK5] gives [MSK7] more exercise. What do [MSK4] know? [MSK4]'ve never even had a pet [MSK7] before!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5a80d327f21f740021abaa7f/logical-fallacies,ad hominem,"[MSK1] does not deserve to win. [MSK1] is a smoker and [MSK1] cheated on [MSK1] reading quizzes last year.
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5ffa8a77952dd8001dc18419/logical-fallacy,ad hominem,"[MSK1] ca n’t be class president, [MSK1] ’s poor!
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5d8b58e02e4e1c001a5023ab/fallacies,ad hominem,"A [MSK1] says that [MSK1] does not trust [MSK1] pediatrician because he has never been a [MSK1].
",,
"[MSK1] is claiming [MSK2]. [MSK1] is a moron. Therefore, [MSK2] is not true.",https://quizizz.com/admin/quiz/5c414419241683001aad33d8/rhetorical-fallacies,ad hominem,"[MSK1]'ve never visited another country, so who cares what [MSK1] say about immigration reform!
",,
