0
"                        precision    recall  f1-score   support

            ad hominem       0.11      0.01      0.01       264
            ad populum       0.78      0.10      0.18       207
     appeal to emotion       0.00      0.00      0.00       156
    circular reasoning       0.07      0.18      0.10       159
          equivocation       0.02      0.15      0.04        47
fallacy of credibility       0.41      0.12      0.18       126
  fallacy of extension       0.06      0.38      0.10       115
      fallacy of logic       0.16      0.26      0.20       144
  fallacy of relevance       0.04      0.01      0.02       147
       false causality       0.37      0.21      0.27       189
         false dilemma       0.00      0.00      0.00       126
 faulty generalization       0.30      0.07      0.11       399
           intentional       0.07      0.10      0.08       131

              accuracy                           0.11      2210
             macro avg       0.18      0.12      0.10      2210
          weighted avg       0.22      0.11      0.11      2210
"
